Node,Feature,Threshold,Left_Child,Right_Child,Prediction
0,00,189.5,1,2,-1
1,04,435.5,3,4,-1
2,01,1.0,5,6,-1
3,02,46.5,157,158,-1
4,02,54.5,13,14,-1
5,-1,0,0,0,1
6,00,1329.5,7,8,-1
7,05,0.00028383731842041016,19,20,-1
8,05,0.00029349327087402344,9,10,-1
9,02,1.5,15,16,-1
10,03,3.5,11,12,-1
11,05,0.00106048583984375,67,68,-1
12,00,1417.5,41,42,-1
13,03,109.5,91,92,-1
14,-1,0,0,0,1
15,-1,0,0,0,0
16,00,1418.0,17,18,-1
17,04,913.5,75,76,-1
18,-1,0,0,0,1
19,04,477.5,101,102,-1
20,05,0.0010510683059692383,21,22,-1
21,03,6.5,23,24,-1
22,02,132.5,61,62,-1
23,00,331.0,47,48,-1
24,03,147.5,25,26,-1
25,02,2.5,27,28,-1
26,04,596.5,35,36,-1
27,00,279.0,43,44,-1
28,04,172.0,29,30,-1
29,03,9.5,33,34,-1
30,03,144.5,31,32,-1
31,-1,0,0,0,0
32,-1,0,0,0,1
33,-1,0,0,0,1
34,-1,0,0,0,1
35,02,3.5,37,38,-1
36,02,146.5,57,58,-1
37,-1,0,0,0,0
38,00,192.5,39,40,-1
39,-1,0,0,0,1
40,-1,0,0,0,0
41,-1,0,0,0,1
42,-1,0,0,0,1
43,-1,0,0,0,0
44,00,353.5,45,46,-1
45,-1,0,0,0,0
46,-1,0,0,0,0
47,04,821.0,77,78,-1
48,00,366.5,49,50,-1
49,02,38.5,51,52,-1
50,00,500.5,53,54,-1
51,-1,0,0,0,1
52,-1,0,0,0,0
53,-1,0,0,0,0
54,05,0.00041556358337402344,55,56,-1
55,-1,0,0,0,0
56,-1,0,0,0,0
57,00,509.0,59,60,-1
58,05,0.0004036426544189453,73,74,-1
59,-1,0,0,0,0
60,-1,0,0,0,0
61,05,0.0010689496994018555,79,80,-1
62,00,845.0,63,64,-1
63,01,13.0,65,66,-1
64,-1,0,0,0,1
65,-1,0,0,0,0
66,00,523.5,69,70,-1
67,-1,0,0,0,0
68,00,1916.5,161,162,-1
69,00,213.0,167,168,-1
70,00,838.0,71,72,-1
71,-1,0,0,0,0
72,-1,0,0,0,0
73,-1,0,0,0,0
74,-1,0,0,0,0
75,-1,0,0,0,0
76,03,192.0,99,100,-1
77,-1,0,0,0,0
78,-1,0,0,0,0
79,00,1105.5,95,96,-1
80,00,1110.0,81,82,-1
81,00,293.5,87,88,-1
82,02,25.5,83,84,-1
83,-1,0,0,0,0
84,05,0.0011556148529052734,85,86,-1
85,-1,0,0,0,0
86,-1,0,0,0,0
87,03,251.5,97,98,-1
88,00,380.0,89,90,-1
89,-1,0,0,0,0
90,-1,0,0,0,0
91,04,782.5,93,94,-1
92,-1,0,0,0,0
93,02,41.5,169,170,-1
94,-1,0,0,0,0
95,05,0.001053929328918457,155,156,-1
96,02,1.0,127,128,-1
97,-1,0,0,0,0
98,-1,0,0,0,0
99,-1,0,0,0,0
100,-1,0,0,0,0
101,00,725.5,133,134,-1
102,04,493.5,103,104,-1
103,03,251.5,105,106,-1
104,05,1.8477439880371094e-05,109,110,-1
105,00,990.0,153,154,-1
106,04,492.5,107,108,-1
107,02,3.5,121,122,-1
108,-1,0,0,0,0
109,02,131.5,179,180,-1
110,05,0.0001634359359741211,111,112,-1
111,00,534.5,113,114,-1
112,00,1013.0,119,120,-1
113,03,146.5,117,118,-1
114,04,680.0,115,116,-1
115,-1,0,0,0,0
116,-1,0,0,0,1
117,-1,0,0,0,0
118,-1,0,0,0,0
119,03,145.5,131,132,-1
120,04,575.0,125,126,-1
121,-1,0,0,0,0
122,04,487.5,123,124,-1
123,-1,0,0,0,0
124,-1,0,0,0,0
125,-1,0,0,0,0
126,-1,0,0,0,0
127,-1,0,0,0,0
128,03,1.5,129,130,-1
129,-1,0,0,0,0
130,-1,0,0,0,0
131,-1,0,0,0,0
132,-1,0,0,0,0
133,00,366.5,143,144,-1
134,01,3.0,135,136,-1
135,-1,0,0,0,0
136,02,3.5,137,138,-1
137,-1,0,0,0,0
138,02,4.5,139,140,-1
139,05,1.800060272216797e-05,141,142,-1
140,05,0.00027191638946533203,151,152,-1
141,-1,0,0,0,0
142,-1,0,0,0,0
143,04,28.0,145,146,-1
144,04,31.5,191,192,-1
145,00,316.5,147,148,-1
146,05,0.0002645254135131836,163,164,-1
147,-1,0,0,0,0
148,01,4.0,149,150,-1
149,-1,0,0,0,0
150,-1,0,0,0,0
151,-1,0,0,0,0
152,-1,0,0,0,0
153,05,3.8504600524902344e-05,173,174,-1
154,-1,0,0,0,0
155,-1,0,0,0,0
156,04,855.5,177,178,-1
157,05,0.001054525375366211,159,160,-1
158,-1,0,0,0,1
159,-1,0,0,0,1
160,-1,0,0,0,1
161,-1,0,0,0,0
162,-1,0,0,0,0
163,05,2.491474151611328e-05,171,172,-1
164,00,245.0,165,166,-1
165,-1,0,0,0,0
166,-1,0,0,0,0
167,-1,0,0,0,0
168,-1,0,0,0,0
169,-1,0,0,0,0
170,-1,0,0,0,0
171,-1,0,0,0,0
172,-1,0,0,0,0
173,-1,0,0,0,0
174,01,11.0,175,176,-1
175,-1,0,0,0,0
176,-1,0,0,0,0
177,-1,0,0,0,0
178,-1,0,0,0,0
179,05,1.0728836059570312e-06,181,182,-1
180,00,575.5,183,184,-1
181,03,95.5,187,188,-1
182,-1,0,0,0,0
183,05,1.5854835510253906e-05,189,190,-1
184,04,831.5,185,186,-1
185,-1,0,0,0,0
186,-1,0,0,0,0
187,-1,0,0,0,0
188,-1,0,0,0,0
189,-1,0,0,0,0
190,-1,0,0,0,0
191,-1,0,0,0,0
192,00,499.5,193,194,-1
193,02,141.0,197,198,-1
194,04,39.5,195,196,-1
195,-1,0,0,0,0
196,-1,0,0,0,0
197,-1,0,0,0,0
198,-1,0,0,0,0
